id,symbol,assetType,price,currency,priceDate,source,updatedAt
7d78fb63-fcb6-42b0-abe5-0724ec249794,600519.CN,STOCK,"8182.9700",CNY,2026-01-23,AkShare,2026-01-25 11:54:18.655+00
1101e8eb-f3d1-4453-b45b-0453f95921fc,TSLA.US,STOCK,"449.0600",USD,2026-01-23,YahooFinance,2026-01-25 14:16:05.184+00
"00499b42-d3c4-45a9-9ff5-e21197b5c269",NDX.US,STOCK,"17421.0000",USD,2024-01-26,YahooFinance,2026-01-25 14:16:05.881+00
f0b7f965-2231-4c07-b958-aa2ed9406f10,NVDA.US,STOCK,"187.6700",USD,2026-01-23,YahooFinance,2026-01-25 14:16:05.885+00
